"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2024";"0000";"26,5";"27,1";"26,3";"40,0";"42,0";"39,0";"12,0";"12,4";"12,0";"926,9";"926,9";"926,7";"1,6";"180,0";"3,2";"";"0,0"
"01/10/2024";"0100";"25,8";"26,6";"24,7";"42,0";"46,0";"40,0";"12,0";"12,4";"11,8";"926,8";"927,0";"926,8";"1,4";"209,0";"3,0";"";"0,0"
"01/10/2024";"0200";"25,0";"25,9";"24,9";"45,0";"45,0";"42,0";"12,1";"12,1";"11,9";"926,4";"926,8";"926,4";"1,3";"198,0";"3,3";"";"0,0"
"01/10/2024";"0300";"24,8";"25,3";"24,7";"50,0";"50,0";"44,0";"13,7";"13,7";"11,9";"925,8";"926,4";"925,8";"2,4";"189,0";"6,9";"";"0,0"
"01/10/2024";"0400";"24,7";"24,9";"24,6";"51,0";"51,0";"50,0";"13,8";"14,0";"13,7";"925,5";"925,8";"925,5";"1,0";"183,0";"5,2";"";"0,0"
"01/10/2024";"0500";"24,7";"25,4";"24,6";"50,0";"51,0";"48,0";"13,5";"13,8";"13,4";"925,3";"925,6";"925,3";"2,6";"143,0";"6,8";"";"0,0"
"01/10/2024";"0600";"24,7";"24,7";"24,3";"47,0";"50,0";"47,0";"12,6";"13,4";"12,6";"925,1";"925,3";"925,1";"3,2";"137,0";"6,6";"";"0,0"
"01/10/2024";"0700";"24,4";"24,8";"24,3";"47,0";"47,0";"46,0";"12,2";"12,6";"12,2";"925,4";"925,4";"925,0";"3,0";"132,0";"5,5";"";"0,0"
"01/10/2024";"0800";"24,1";"24,4";"23,8";"47,0";"49,0";"47,0";"12,1";"12,4";"12,1";"925,9";"926,0";"925,4";"3,1";"135,0";"5,3";"";"0,0"
"01/10/2024";"0900";"23,9";"24,1";"23,7";"48,0";"48,0";"47,0";"12,1";"12,1";"11,9";"926,5";"926,5";"925,9";"3,0";"131,0";"5,6";"34,90";"0,0"
"01/10/2024";"1000";"25,7";"25,7";"23,9";"42,0";"48,0";"42,0";"11,9";"12,2";"11,8";"927,1";"927,1";"926,5";"3,4";"131,0";"6,5";"574,60";"0,0"
"01/10/2024";"1100";"27,6";"27,6";"25,7";"37,0";"42,0";"37,0";"11,5";"12,1";"11,5";"927,8";"927,8";"927,2";"4,7";"125,0";"8,6";"1502,70";"0,0"
