"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2025";"0000";"23,6";"24,1";"23,6";"95,0";"95,0";"92,0";"22,7";"22,8";"22,6";"1013,0";"1013,4";"1013,0";"1,8";"84,0";"3,9";"";"0,0"
"01/01/2025";"0100";"23,2";"23,6";"23,2";"97,0";"97,0";"95,0";"22,7";"22,9";"22,6";"1013,6";"1013,6";"1012,6";"2,2";"34,0";"5,2";"";"0,0"
"01/01/2025";"0200";"22,9";"23,3";"22,9";"95,0";"97,0";"94,0";"22,1";"22,7";"22,1";"1012,8";"1013,8";"1012,7";"1,4";"53,0";"3,7";"";"0,0"
"01/01/2025";"0300";"22,9";"23,0";"22,7";"95,0";"97,0";"95,0";"22,0";"22,3";"22,0";"1012,2";"1012,8";"1012,2";"2,0";"69,0";"4,3";"";"0,0"
"01/01/2025";"0400";"22,0";"22,9";"22,0";"98,0";"98,0";"94,0";"21,6";"22,1";"21,6";"1011,9";"1012,2";"1011,8";"0,6";"169,0";"4,1";"";"0,0"
"01/01/2025";"0500";"22,0";"22,4";"21,9";"96,0";"100,0";"96,0";"21,4";"22,3";"21,4";"1011,6";"1011,9";"1011,6";"2,1";"49,0";"3,8";"";"0,0"
"01/01/2025";"0600";"21,1";"22,0";"21,1";"98,0";"98,0";"95,0";"20,7";"21,4";"20,6";"1011,2";"1011,6";"1011,2";"1,0";"18,0";"3,9";"";"0,0"
"01/01/2025";"0700";"20,7";"21,1";"20,6";"100,0";"100,0";"97,0";"20,6";"20,9";"20,5";"1011,5";"1011,5";"1011,1";"1,1";"95,0";"1,9";"";"0,0"
"01/01/2025";"0800";"20,5";"20,7";"20,4";"100,0";"100,0";"100,0";"20,5";"20,6";"20,4";"1011,6";"1011,6";"1011,4";"0,6";"17,0";"1,9";"";"0,0"
"01/01/2025";"0900";"20,7";"20,7";"20,3";"100,0";"100,0";"100,0";"20,7";"20,7";"20,3";"1012,1";"1012,1";"1011,5";"0,2";"220,0";"1,6";"113,20";"0,0"
