Carimbo de data/hora;Notificação/Atualização;Nome(s) do(s) Técnico(s);Regional de Saúde;Tipologia;"Caso tenha selecionado “Outros” nas tipologias de eventos, especifique qual(is):  ";"Informe o número de municípios afetados, especificando quais são eles.";"Informe o número de municípios que não preencheram a comunicação de desastres (Formulário do REDCap), especificando quais são eles.  ";"Informe o número de municípios que publicaram decreto de situação de emergência, especificando quais são eles.  ";"Informe o número de municípios sem abastecimento de energia elétrica, especificando quais são eles.  ";"Informe o número de municípios sem abastecimento de água, especificando quais são eles.  ";"Informe o número de municípios com vias de acesso comprometidas, especificando quais são eles.  ";Informe o número de abrigos temporários abertos por município;Informe o número de pessoas desabrigadas por município.  ;Informe o número de pessoas desalojadas por município  ;Informe o número de pessoas feridas por município.  ;Informe o número de óbitos por município.  ;Informe o número de estabelecimentos de saúde afetados por município.;Informe o número de kits de medicamentos e insumos estratégicos solicitados por município.;"Informe a ocorrência de surtos em decorrência do evento, por município. ";Observações;Houve comprometimento da estrutura física da regional?;Há abastecimento de energia elétrica?;Há abastecimento de água?;Houve danos:;  Houve comprometimento da Rede de Frio?  ;Houve necessidade de remanejamento de imunobiológicos?;Por meio de qual(is) instância(s) a UDVE e/ou a UDVISA estabeleceram contato com o(s) município(s) afetado(s) e obtiveram as informações e os dados utilizados para o preenchimento deste formulário? ;"Caso tenha selecionado a opção “Outros”, especifique a(s) instância(s), setor(es) ou instituição(ões) por meio da(s) qual(is) foram obtidas as informações e os dados utilizados para o preenchimento deste formulário. ";Informações adicionais poderão ser descritas aqui
2/27/2026 14:52:53;Notificação (Enviar às 10h30).;daniela;Xanxerê;Chuvas intensas;;5;6;5;4;4;3;3;3;3;3;3;3;3;0;fgdfg;Não;;;;;;;;
3/1/2026 10:35:03;Notificação (Enviar às 10h30).;Raquel Faller/Josiane Verdi Schaade;Rio do Sul;Outros;Sem eventos notificados até o momento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Até o momento não recebemos Notificações.;Não;;;;;;;;
3/1/2026 10:38:29;Notificação (Enviar às 10h30).;UDVE - Fernanda de Melo UDVISA - Marcia Rodrigues da Silva;Joinville;Chuvas intensas;;1 São Francisco do Sul;"5 Araquari, Barra do Sul, Garuva, Itapoá, Joinville";0;não informado;não informado;não informado;município de São Francisco do Sul em fase de inspeção de abrigos (VISA);200;desconhecido;desconhecido;0;0;0;0;;Não;;;;;;;;
3/1/2026 10:39:22;Notificação (Enviar às 10h30).;UDVISA - Luciane Ap. Ribeiro Grassi     UDVISA - Ana Maria Zandoná Fachin;Joaçaba;Outros;0;0;"Não houve preenchimento pelos municípios do COREDEC de Campos Novos (Abdon Batista, Brunópolis, Celso Ramos, Campos Novos, Monte Carlo, Vargem e Zortea)";0;0;0;0;0;0;0;0;0;0;0;0;;Não;;;;;;;;
3/1/2026 10:40:09;Notificação (Enviar às 10h30).;Andreza Granosiki UDVE Juliana Cássia Bonatto Claudete Gehardt UDVS;Concórdia;Chuvas intensas;;"4 Seara, Xavantina ,Presidente Castello Branco Lindóia do Sul";"9 Alto Bela Vista,Arabutã ,Concordia, Ipira ,Piratuba, Ipumirim ,Irani, Itá, Peritiba";0;0;0;0;0;0;0;0;0;0;0;0;;Não;;;;;;;;"Ainda não temos informações dos nossos municipios, mas estamos acompanhando todos,porém sem informações concretas"
3/1/2026 10:43:51;Notificação (Enviar às 10h30).;Tiago Morte - UDVE. Daiane Godinho - UDVISA;Criciúma;"Chuvas intensas, Inundação, Alagamento, Vendaval, Microexplosão, Movimento de massa, Outros";extravasamento de produtos perigosos transportados no duto modal dutoviario;"12 - Balneário Rincão, Cocal do Sul, Criciuma, Icara, Forquilhinha, Lauro Muller, Morro da Fumaca, Nova Veneza, Orleans, Sideropolis, Treviso, Urussanga";"9 - Balneário Rincão, Cocal do Sul, Criciuma, Forquilhinha, Icara, Lauro Muller, Morro da Fumaca, Orleans, Urussanga";"4 - Balneário Rincão, Cocal do Sul, Lauro Muller e Sideropolis,";zero;zero;Urussanga 2 vias interditadas;"Urussanga 1 abrigo, Icara - 1 abrigo";"Urussanga 48 pessoas desabrigadas, Icara 3 pessoas desabrigadas";Urussanga 64 pessoas desalojadas;"Urussanga - 4 pessoas feridas, Icara 1 pessoa ferida";zero;Urussanga - 1 estabelecimento ;zero;zero;"Municipio de Urussanga informou que preencheu o Red Cap , mas não apareceu na planilha atualizada para nos";Não;;;;;;;;
3/1/2026 10:44:19;Notificação (Enviar às 10h30).;Francine Jordana Lunelli e Carolina Inês Rozza Michalak;Jaraguá do Sul;"Chuvas intensas, Alagamento, Vendaval, Movimento de massa, Outros";"Caminhão tanque com vasamento de hipoclorito - ONU 1791, colisão embaixo do viaduto com ônibus com crianças, carro e moto.  Acidente caminhão (óleo Dieses), com dois veículos, vasamento de combustível para o Rio Itapocu.";7;"Barra Velha, Corupá, Guaramirim, Jaraguá do Sul, São João do Itaperiú, Schroeder.";2: Jaraguá do Sul e Barra Velha.;Zero.;Zero.;Massaranduba - 1.;"Massaranduba:1; Schroeder: 1, Guaramirim: 1; Jaraguá do Sul: 1.";"Guaramirim: 6;Jaraguá do Sul:100; Massaranduba: 15; Schroeder: 3.";Jaraguá do Sul: 220.;"Barra Velha: 31; Corupá: 6, Guaramirim: sem informação; Jaraguá do Sul: 31; Massaranduba: 20, São João do Itaperiú: 10; Schroeder: 3.";"Barra Velha: 5; Corupá: 1, Guaramirim: 0; Jaraguá do Sul: 3; Massaranduba: 2; São João do Itaperiú: 0, Schroeder: 0.";Nenhum município até o momento.;Nenhum município até o momento.;Nenhum município até o momento.;;Não;;;;;;;;
3/1/2026 10:51:54;Notificação (Enviar às 10h30).;UDVE: Eliane Thechio / Jucéli Bonamigo     - UDVISA Kátia R. Valentini;Joaçaba;Granizo;;"Catanduvas; Ibicare; Vargem Bonita";Nenhum dos 3 municipios preencheu até o momento.;Em levantamento;Em levantamento;Em levantamento;Em levantamento;"Catanduvas 01; ";Catanduvas: 312 desabrigados;Catanduvas: 102 desalojados;Catnduvas: !6 feridos;0;Em levantamento;Até o momento não recebemos solicitação.;Até o momento sem informação.;;Não;;;;;;;;
3/1/2026 10:53:10;Notificação (Enviar às 10h30).;"Katia R. Valentini, Eliane Techio, Juceli Bonamigo";Joaçaba;Chuvas intensas;;" 3 municípios - OURO, LUZERNA, TREZE TÍLIAS";Nenhum dos três municípios afetados preencheu a planilha REDCap até este horário;Está em levantamento;Em levantamento;Em levantamento;Em levantamento;01 abrigo em Luzerna;Luzerna - 50 desabrigados;Luzerna - 50;Não há;Não há;Não informado até o momento;Não há;Não há;Não há;Não;;;;;;;;
3/1/2026 10:57:01;Notificação (Enviar às 10h30).;"UDVISA - KALINCA SCHWARZ, UDVISA - KATIANE SECCO, UDVE - ANDREIA BORTOLOTTO, UDVE - SANDRA LÉA";Blumenau;"Chuvas intensas, Enxurrada, Microexplosão, Outros";DESLIZAMENTOS;4;11;0;1 (BLUMENAU);1 (BLUMENAU);"BLUMENAU 3, BENEDITO NOVO 5, GASPAR 0";"BENEDITO NOVO 2, BLUMENAU 2, GASPAR 2";BENEDITO NOVO 36;BENEDITO NOVO 20;BENEDITO NOVO 1;0;GASPAR 1;0;0;;Não;;;;;;;;
