MUNICÍPIO,Número de notificações de irregularidades finalizadas pela VISA
ARARANGUÁ,0
BALNEÁRIO ARROIO DO SILVA,2
BALNEÁRIO GAIVOTA,0
ERMO,0
JACINTO MACHADO,0
MARACAJÁ,1
MELEIRO,1
MORRO GRANDE,0
PASSO DE TORRES,0
PRAIA GRANDE,0
SANTA ROSA DO SUL,0
SÃO JOÃO DO SUL,0
SOMBRIO,3
TIMBÉ DO SUL,1
TURVO,0
APIÚNA,0
ASCURRA,0
BENEDITO NOVO,0
BLUMENAU,0
BOTUVERÁ,0
BRUSQUE,1
DOUTOR PEDRINHO,1
GASPAR,13
GUABIRUBA,0
INDAIAL,0
POMERODE,0
RIO DOS CEDROS,1
RODEIO,0
TIMBÓ,1
ÁGUAS DE CHAPECÓ,0
ÁGUAS FRIAS,0
ARVOREDO,0
CAIBI,0
CAXAMBU DO SUL,0
CHAPECÓ,0
CORDILHEIRA ALTA,0
CORONEL FREITAS,0
CUNHA PORÃ,1
CUNHATAÍ,0
FORMOSA DO SUL,0
GUATAMBÚ,0
IRATI,0
JARDINÓPOLIS,0
NOVA ERECHIM,0
NOVA ITABERABA,0
PAIAL,0
PALMITOS,0
PINHALZINHO,1
PLANALTO ALEGRE,0
QUILOMBO,0
RIQUEZA,0
SANTIAGO DO SUL,0
SÃO CARLOS,0
SERRA ALTA,0
SUL BRASIL,0
UNIÃO DO OESTE,0
ALTO BELA VISTA,1
ARABUTÃ,0
CONCÓRDIA,5
IPIRA,0
IPUMIRIM,0
IRANI,2
ITÁ,0
LINDÓIA DO SUL,0
PERITIBA,0
PIRATUBA,1
PRESIDENTE CASTELLO BRANCO,1
SEARA,6
XAVANTINA,0
BALNEÁRIO RINCÃO,0
COCAL DO SUL,0
CRICIÚMA,0
FORQUILHINHA,0
IÇARA,0
LAURO MULLER,3
MORRO DA FUMAÇA,0
NOVA VENEZA,0
ORLEANS,12
SIDERÓPOLIS,0
TREVISO,0
URUSSANGA,0
ÁGUAS MORNAS,0
ALFREDO WAGNER,0
ANGELINA,0
ANITÁPOLIS,0
ANTÔNIO CARLOS,0
BIGUAÇU,0
CANELINHA,0
FLORIANÓPOLIS,0
GAROPABA,0
GOVERNADOR CELSO RAMOS,3
LEOBERTO LEAL,0
MAJOR GERCINO,0
NOVA TRENTO,0
PALHOÇA,0
PAULO LOPES,0
RANCHO QUEIMADO,0
SANTO AMARO DA IMPERATRIZ,1
SÃO BONIFÁCIO,0
SÃO JOÃO BATISTA,0
SÃO JOSÉ,1
SÃO PEDRO DE ALCÂNTARA,0
TIJUCAS,11
BALNEÁRIO CAMBORIÚ,0
BALNEÁRIO PIÇARRAS,3
BOMBINHAS,5
CAMBORIÚ,0
ILHOTA,0
