"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2025";"0000";"25,9";"26,5";"25,8";"32,0";"33,0";"31,0";"7,8";"8,5";"7,8";"972,8";"972,8";"972,3";"";"";"";"";"0,0"
"01/09/2025";"0100";"25,3";"26,3";"24,9";"33,0";"34,0";"31,0";"7,8";"7,9";"7,7";"973,3";"973,3";"972,8";"";"";"";"";"0,0"
"01/09/2025";"0200";"25,5";"25,6";"24,7";"33,0";"34,0";"32,0";"8,0";"8,1";"7,6";"973,5";"973,5";"973,3";"";"";"";"";"0,0"
"01/09/2025";"0300";"24,4";"25,6";"24,4";"37,0";"37,0";"33,0";"8,7";"8,7";"8,1";"973,8";"973,9";"973,5";"";"";"";"";"0,0"
"01/09/2025";"0400";"23,5";"24,6";"23,4";"41,0";"41,0";"37,0";"9,4";"9,4";"8,7";"973,7";"973,9";"973,7";"";"";"";"";"0,0"
"01/09/2025";"0500";"22,1";"23,5";"22,1";"45,0";"45,0";"41,0";"9,7";"9,8";"9,4";"973,6";"973,8";"973,5";"";"";"";"";"0,0"
"01/09/2025";"0600";"21,4";"22,1";"21,4";"57,0";"57,0";"45,0";"12,6";"12,7";"9,6";"973,1";"973,6";"973,0";"";"";"";"";"0,0"
"01/09/2025";"0700";"20,7";"21,5";"20,7";"62,0";"62,0";"57,0";"13,2";"13,3";"12,7";"972,9";"973,2";"972,9";"";"";"";"";"0,0"
"01/09/2025";"0800";"20,1";"20,8";"20,1";"67,0";"67,0";"62,0";"13,8";"13,8";"13,2";"972,7";"972,9";"972,5";"";"";"";"";"0,0"
"01/09/2025";"0900";"19,9";"20,1";"19,8";"69,0";"69,0";"67,0";"13,9";"14,0";"13,8";"973,1";"973,1";"972,6";"";"";"";"";"0,0"
