"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2025";"0000";"23,8";"24,8";"23,6";"32,0";"33,0";"29,0";"6,3";"6,3";"5,3";"943,3";"943,3";"942,7";"3,5";"102,0";"7,8";"";"0,0"
"01/09/2025";"0100";"21,1";"23,8";"20,9";"43,0";"43,0";"32,0";"7,9";"7,9";"6,3";"943,9";"943,9";"943,3";"1,5";"168,0";"7,5";"";"0,0"
"01/09/2025";"0200";"19,9";"21,1";"19,9";"63,0";"63,0";"43,0";"12,6";"12,6";"8,0";"944,3";"944,3";"943,9";"1,7";"162,0";"6,0";"";"0,0"
"01/09/2025";"0300";"18,9";"19,9";"18,9";"70,0";"70,0";"63,0";"13,4";"13,4";"12,6";"944,6";"944,6";"944,3";"1,8";"163,0";"7,1";"";"0,0"
"01/09/2025";"0400";"18,1";"18,9";"18,0";"76,0";"76,0";"70,0";"13,8";"13,8";"13,3";"944,6";"944,6";"944,5";"2,2";"159,0";"6,6";"";"0,0"
"01/09/2025";"0500";"17,4";"18,1";"17,3";"82,0";"82,0";"76,0";"14,2";"14,2";"13,8";"944,6";"944,7";"944,5";"2,3";"155,0";"6,8";"";"0,0"
"01/09/2025";"0600";"17,0";"17,6";"17,0";"85,0";"85,0";"80,0";"14,5";"14,5";"14,0";"944,5";"944,7";"944,5";"2,3";"158,0";"7,3";"";"0,0"
"01/09/2025";"0700";"16,6";"17,1";"16,3";"92,0";"100,0";"84,0";"15,3";"16,3";"14,3";"944,1";"944,5";"944,0";"2,6";"137,0";"6,7";"";"0,0"
"01/09/2025";"0800";"16,6";"16,7";"16,3";"89,0";"100,0";"89,0";"14,8";"16,2";"14,8";"943,5";"944,0";"943,5";"3,3";"119,0";"8,9";"";"0,0"
"01/09/2025";"0900";"16,5";"16,7";"16,4";"88,0";"92,0";"86,0";"14,4";"15,1";"14,3";"943,7";"943,8";"943,4";"3,5";"99,0";"9,4";"";"0,0"
"01/09/2025";"1000";"16,6";"16,6";"16,4";"84,0";"89,0";"84,0";"13,9";"14,5";"13,9";"944,3";"944,3";"943,7";"2,9";"103,0";"8,9";"4,40";"0,0"
"01/09/2025";"1100";"18,0";"18,0";"16,5";"74,0";"84,0";"74,0";"13,3";"13,9";"13,3";"945,1";"945,1";"944,3";"4,3";"113,0";"9,6";"408,10";"0,0"
"01/09/2025";"1200";"20,5";"20,5";"18,0";"61,0";"74,0";"61,0";"12,8";"13,4";"12,8";"945,5";"945,7";"945,1";"4,8";"100,0";"11,1";"1261,10";"0,0"
"01/09/2025";"1300";"23,4";"23,6";"20,4";"49,0";"61,0";"49,0";"12,1";"12,8";"12,0";"946,5";"946,7";"945,4";"3,5";"98,0";"12,2";"1999,30";"0,0"
"01/09/2025";"1400";"25,2";"25,3";"23,3";"42,0";"49,0";"42,0";"11,3";"12,2";"11,1";"946,1";"946,6";"946,1";"3,8";"75,0";"9,2";"2627,40";"0,0"
"01/09/2025";"1500";"26,1";"27,3";"25,0";"39,0";"43,0";"37,0";"11,0";"11,9";"10,6";"945,3";"946,1";"945,3";"3,0";"78,0";"9,1";"2784,10";"0,0"
