"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2024";"0000";"30,6";"31,5";"30,3";"29,0";"29,0";"27,0";"10,3";"10,6";"10,1";"961,1";"961,1";"960,9";"1,2";"94,0";"2,1";"";"0,0"
"01/10/2024";"0100";"29,7";"31,0";"29,2";"30,0";"32,0";"27,0";"10,3";"11,1";"9,8";"961,4";"961,5";"961,0";"1,4";"94,0";"3,9";"";"0,0"
"01/10/2024";"0200";"29,3";"29,8";"28,7";"30,0";"31,0";"29,0";"9,8";"10,4";"9,7";"961,4";"961,5";"961,3";"1,7";"74,0";"3,9";"";"0,0"
"01/10/2024";"0300";"29,1";"29,8";"28,9";"29,0";"30,0";"28,0";"9,2";"9,8";"9,0";"961,0";"961,4";"961,0";"1,7";"69,0";"4,5";"";"0,0"
"01/10/2024";"0400";"28,9";"29,5";"28,7";"29,0";"29,0";"28,0";"9,0";"9,3";"8,8";"960,1";"961,0";"960,1";"2,0";"76,0";"4,7";"";"0,0"
"01/10/2024";"0500";"28,0";"29,0";"27,4";"31,0";"32,0";"29,0";"9,4";"9,4";"9,1";"959,4";"960,1";"959,4";"2,1";"77,0";"4,6";"";"0,0"
"01/10/2024";"0600";"27,8";"28,1";"27,5";"31,0";"32,0";"30,0";"9,3";"9,5";"8,9";"959,3";"959,4";"959,3";"2,6";"79,0";"4,8";"";"0,0"
"01/10/2024";"0700";"26,7";"27,8";"26,5";"35,0";"35,0";"31,0";"9,8";"9,9";"9,3";"959,5";"959,6";"959,3";"2,8";"62,0";"5,6";"";"0,0"
"01/10/2024";"0800";"25,8";"26,7";"25,8";"38,0";"38,0";"35,0";"10,5";"10,5";"9,8";"960,0";"960,0";"959,4";"3,6";"61,0";"7,5";"";"0,0"
"01/10/2024";"0900";"24,7";"25,8";"24,6";"43,0";"43,0";"38,0";"11,2";"11,3";"10,5";"960,6";"960,6";"960,0";"2,4";"62,0";"7,3";"";"0,0"
"01/10/2024";"1000";"24,7";"24,8";"24,6";"44,0";"45,0";"43,0";"11,7";"11,7";"11,2";"961,6";"961,6";"960,6";"3,1";"65,0";"6,3";"130,20";"0,0"
"01/10/2024";"1100";"26,9";"27,0";"24,6";"39,0";"45,0";"39,0";"11,9";"12,3";"11,7";"962,3";"962,3";"961,6";"2,5";"57,0";"5,9";"511,30";"0,0"
"01/10/2024";"1200";"29,7";"29,9";"26,9";"33,0";"40,0";"33,0";"11,9";"12,9";"11,6";"962,9";"962,9";"962,3";"2,4";"41,0";"7,3";"1336,00";"0,0"
"01/10/2024";"1300";"32,2";"32,2";"29,6";"30,0";"34,0";"29,0";"12,2";"12,5";"11,4";"962,5";"962,9";"962,5";"3,2";"27,0";"8,2";"2107,30";"0,0"
"01/10/2024";"1400";"36,0";"36,0";"32,2";"25,0";"30,0";"25,0";"13,0";"13,2";"11,9";"961,7";"962,5";"961,7";"3,3";"358,0";"9,2";"2887,70";"0,0"
"01/10/2024";"1500";"37,7";"37,9";"35,3";"22,0";"25,0";"22,0";"12,4";"13,5";"11,9";"960,7";"961,7";"960,7";"3,3";"339,0";"9,8";"3163,60";"0,0"
"01/10/2024";"1600";"37,4";"38,8";"37,1";"21,0";"23,0";"20,0";"11,8";"13,3";"11,4";"959,3";"960,7";"959,3";"4,0";"343,0";"10,5";"3103,00";"0,0"
"01/10/2024";"1700";"38,3";"39,0";"36,8";"21,0";"23,0";"20,0";"12,1";"13,6";"11,3";"958,3";"959,3";"958,3";"2,5";"312,0";"9,7";"2544,10";"0,0"
"01/10/2024";"1800";"38,8";"39,3";"37,4";"21,0";"22,0";"20,0";"12,2";"12,9";"11,4";"957,4";"958,3";"957,4";"2,4";"313,0";"8,1";"2456,80";"0,0"
"01/10/2024";"1900";"38,1";"39,3";"37,9";"21,0";"22,0";"20,0";"12,3";"13,0";"11,6";"957,0";"957,5";"957,0";"1,7";"317,0";"8,0";"1749,70";"0,0"
"01/10/2024";"2000";"37,3";"38,5";"37,2";"23,0";"23,0";"20,0";"12,7";"13,1";"11,3";"957,0";"957,0";"956,9";"2,6";"280,0";"6,3";"1024,00";"0,0"
"01/10/2024";"2100";"35,8";"37,4";"35,8";"27,0";"27,0";"23,0";"14,0";"14,0";"12,5";"957,5";"957,5";"957,0";"1,7";"249,0";"5,6";"348,20";"0,0"
"01/10/2024";"2200";"32,9";"35,8";"32,9";"33,0";"33,0";"27,0";"14,7";"14,7";"13,9";"958,0";"958,0";"957,5";"0,4";"179,0";"3,8";"9,70";"0,0"
"01/10/2024";"2300";"32,3";"32,9";"32,3";"35,0";"35,0";"33,0";"15,0";"15,0";"14,7";"958,6";"958,6";"958,0";"0,6";"133,0";"1,2";"";"0,0"
"02/10/2024";"0000";"31,5";"32,4";"31,3";"39,0";"39,0";"35,0";"16,0";"16,0";"14,9";"959,2";"959,2";"958,6";"0,3";"46,0";"1,1";"";"0,0"
