"TOA5","exp","CR1000","63522","CR1000.Std.32.03","CPU:exp01 2025_Fran.CR1","65156","exp01"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","t_terra","t_agua"
"TS","RN","","","",""
"","","Min","Smp","Smp","Smp"
"2025-11-27 08:35:06",0,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:07",1,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:08",2,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:09",3,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:10",4,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:11",5,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:12",6,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:13",7,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:14",8,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:15",9,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:16",10,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:17",11,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:18",12,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:19",13,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:20",14,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:21",15,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:22",16,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:23",17,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:24",18,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:25",19,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:26",20,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:27",21,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:28",22,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:29",23,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:30",24,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:31",25,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:32",26,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:33",27,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:34",28,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:35",29,12.77,23.04,"NAN","NAN"
"2025-11-27 08:35:36",30,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:37",31,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:38",32,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:39",33,12.76,23.04,"NAN",80.8
"2025-11-27 08:35:40",34,12.76,23.04,"NAN",55.58
"2025-11-27 08:35:41",35,12.76,23.04,"NAN",30.98
"2025-11-27 08:35:42",36,12.76,23.04,"NAN",7.347
"2025-11-27 08:35:43",37,12.76,23.04,"NAN",-16.65
"2025-11-27 08:35:44",38,12.76,23.04,"NAN",-39.86
"2025-11-27 08:35:45",39,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:46",40,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:47",41,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:48",42,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:49",43,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:50",44,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:51",45,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:52",46,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:53",47,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:54",48,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:55",49,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:56",50,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:57",51,12.76,23.04,"NAN","NAN"
"2025-11-27 08:35:58",52,12.75,23.04,"NAN","NAN"
"2025-11-27 08:35:59",53,12.78,23.04,"NAN","NAN"
"2025-11-27 08:36:00",54,12.77,23.04,"NAN","NAN"
"2025-11-27 08:36:01",55,12.77,23.04,"NAN","NAN"
"2025-11-27 08:36:02",56,12.77,23.04,"NAN","NAN"
"2025-11-27 08:36:03",57,12.77,23.04,"NAN","NAN"
"2025-11-27 08:36:04",58,12.77,23.04,"NAN","NAN"
"2025-11-27 08:36:05",59,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:06",60,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:07",61,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:08",62,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:09",63,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:10",64,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:11",65,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:12",66,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:13",67,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:14",68,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:15",69,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:16",70,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:17",71,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:18",72,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:19",73,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:20",74,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:21",75,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:22",76,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:23",77,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:24",78,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:25",79,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:26",80,12.77,23.07,"NAN","NAN"
"2025-11-27 08:36:27",81,12.77,23.07,23.12,"NAN"
"2025-11-27 08:36:28",82,12.77,23.07,23.3,"NAN"
"2025-11-27 08:36:29",83,12.77,23.07,23.2,"NAN"
"2025-11-27 08:36:30",84,12.77,23.07,23.18,"NAN"
"2025-11-27 08:36:31",85,12.76,23.07,23.19,"NAN"
"2025-11-27 08:36:32",86,12.76,23.07,23.09,"NAN"
"2025-11-27 08:36:33",87,12.76,23.07,23.15,"NAN"
"2025-11-27 08:36:34",88,12.76,23.07,23.15,"NAN"
"2025-11-27 08:36:35",89,12.76,23.1,23.21,"NAN"
"2025-11-27 08:36:36",90,12.76,23.1,23.2,"NAN"
"2025-11-27 08:36:37",91,12.76,23.1,23.2,"NAN"
"2025-11-27 08:36:38",92,12.76,23.1,23.2,"NAN"
"2025-11-27 08:36:39",93,12.76,23.07,23.18,"NAN"
"2025-11-27 08:36:40",94,12.76,23.07,23.16,"NAN"
"2025-11-27 08:36:41",95,12.76,23.07,23.16,74.23
"2025-11-27 08:36:42",96,12.76,23.07,23.18,56.45
"2025-11-27 08:36:43",97,12.76,23.07,23.2,40.89
"2025-11-27 08:36:44",98,12.76,23.07,23.2,26.13
"2025-11-27 08:36:45",99,12.76,23.1,23.26,13.21
"2025-11-27 08:36:46",100,12.76,23.1,23.28,1.268
"2025-11-27 08:36:47",101,12.76,23.1,23.3,-9.19
"2025-11-27 08:36:48",102,12.76,23.1,23.34,"NAN"
"2025-11-27 08:36:49",103,12.76,23.1,23.35,"NAN"
"2025-11-27 08:36:50",104,12.76,23.1,23.38,"NAN"
"2025-11-27 08:36:51",105,12.76,23.1,23.4,"NAN"
"2025-11-27 08:36:52",106,12.76,23.1,23.4,"NAN"
"2025-11-27 08:36:53",107,12.76,23.1,23.36,"NAN"
"2025-11-27 08:36:54",108,12.76,23.1,23.38,"NAN"
"2025-11-27 08:36:55",109,12.76,23.1,23.38,"NAN"
"2025-11-27 08:36:56",110,12.76,23.1,23.36,"NAN"
"2025-11-27 08:36:57",111,12.76,23.1,23.35,"NAN"
"2025-11-27 08:36:58",112,12.76,23.1,23.33,"NAN"
"2025-11-27 08:36:59",113,12.76,23.1,23.32,"NAN"
"2025-11-27 08:37:00",114,12.76,23.1,23.34,"NAN"
"2025-11-27 08:37:01",115,12.76,23.1,23.31,"NAN"
"2025-11-27 08:37:02",116,12.76,23.1,23.31,"NAN"
"2025-11-27 08:37:03",117,12.76,23.1,23.29,"NAN"
"2025-11-27 08:37:04",118,12.76,23.1,23.27,"NAN"
"2025-11-27 08:37:05",119,12.76,23.12,23.3,"NAN"
"2025-11-27 08:37:06",120,12.76,23.12,23.29,"NAN"
"2025-11-27 08:37:07",121,12.76,23.12,23.26,"NAN"
"2025-11-27 08:37:08",122,12.76,23.12,23.27,"NAN"
"2025-11-27 08:37:09",123,12.76,23.12,23.27,"NAN"
"2025-11-27 08:37:10",124,12.76,23.12,23.26,"NAN"
"2025-11-27 08:37:11",125,12.76,23.12,23.24,"NAN"
"2025-11-27 08:37:12",126,12.76,23.12,23.22,"NAN"
"2025-11-27 08:37:13",127,12.76,23.12,23.23,"NAN"
"2025-11-27 08:37:14",128,12.76,23.12,23.23,"NAN"
"2025-11-27 08:37:15",129,12.76,23.12,23.21,"NAN"
"2025-11-27 08:37:16",130,12.76,23.12,23.2,"NAN"
"2025-11-27 08:37:17",131,12.76,23.12,23.18,"NAN"
"2025-11-27 08:37:18",132,12.75,23.12,23.17,"NAN"
"2025-11-27 08:37:19",133,12.76,23.12,23.16,"NAN"
"2025-11-27 08:37:20",134,12.76,23.12,23.17,"NAN"
"2025-11-27 08:37:21",135,12.76,23.12,23.17,22.88
"2025-11-27 08:37:22",136,12.76,23.12,23.16,22.94
"2025-11-27 08:37:23",137,12.75,23.15,23.21,22.93
"2025-11-27 08:37:24",138,12.75,23.15,23.2,22.92
"2025-11-27 08:37:25",139,12.75,23.15,23.22,22.88
"2025-11-27 08:37:26",140,12.75,23.15,23.24,22.83
"2025-11-27 08:37:27",141,12.75,23.15,23.25,22.85
"2025-11-27 08:37:28",142,12.75,23.15,23.28,22.8
"2025-11-27 08:37:29",143,12.75,23.15,23.24,22.63
"2025-11-27 08:37:30",144,12.75,23.15,23.27,22.66
"2025-11-27 08:37:31",145,12.75,23.15,23.24,22.67
"2025-11-27 08:37:32",146,12.75,23.15,23.27,22.69
"2025-11-27 08:37:33",147,12.75,23.15,23.34,22.74
"2025-11-27 08:37:34",148,12.75,23.15,23.37,22.81
"2025-11-27 08:37:35",149,12.75,23.15,23.42,22.82
"2025-11-27 08:37:36",150,12.75,23.15,23.53,22.84
"2025-11-27 08:37:37",151,12.75,23.15,23.65,22.91
"2025-11-27 08:37:38",152,12.75,23.15,25.1,22.95
"2025-11-27 08:37:39",153,12.75,23.18,25.6,23.02
"2025-11-27 08:37:40",154,12.75,23.18,25.71,23.03
"2025-11-27 08:37:41",155,12.75,23.18,25.73,23.04
"2025-11-27 08:37:42",156,12.75,23.18,25.78,23.04
"2025-11-27 08:37:43",157,12.75,23.18,25.78,23.07
"2025-11-27 08:37:44",158,12.75,23.18,25.84,26.04
"2025-11-27 08:37:45",159,12.75,23.18,25.82,27.74
"2025-11-27 08:37:46",160,12.75,23.18,25.88,28.11
"2025-11-27 08:37:47",161,12.75,23.18,25.86,28.16
"2025-11-27 08:37:48",162,12.75,23.21,25.92,28.3
"2025-11-27 08:37:49",163,12.75,23.21,25.94,28.33
"2025-11-27 08:37:50",164,12.75,23.18,25.91,28.23
"2025-11-27 08:37:51",165,12.75,23.21,25.93,28.35
"2025-11-27 08:37:52",166,12.75,23.21,25.95,28.38
"2025-11-27 08:37:53",167,12.75,23.21,25.93,28.4
"2025-11-27 08:37:54",168,12.75,23.21,25.91,28.45
"2025-11-27 08:37:55",169,12.75,23.21,25.92,28.5
"2025-11-27 08:37:56",170,12.75,23.21,25.92,28.48
"2025-11-27 08:37:57",171,12.75,23.21,25.93,28.5
"2025-11-27 08:37:58",172,12.75,23.21,25.93,28.18
"2025-11-27 08:37:59",173,12.75,23.21,25.76,27.36
"2025-11-27 08:38:00",174,12.75,23.21,25.53,26.7
"2025-11-27 08:38:01",175,12.74,23.21,25.23,26.15
"2025-11-27 08:38:02",176,12.75,23.21,25.09,25.69
