"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"21/09/2025";"0000";"30,9";"31,8";"30,8";"47,0";"48,0";"45,0";"18,4";"18,5";"18,3";"968,1";"968,1";"967,6";"3,6";"3,0";"6,0";"";"0,0"
"21/09/2025";"0100";"30,0";"31,1";"29,8";"50,0";"50,0";"47,0";"18,3";"18,4";"18,3";"968,8";"968,8";"968,1";"3,2";"355,0";"6,0";"";"0,0"
"21/09/2025";"0200";"29,7";"30,2";"29,5";"51,0";"51,0";"49,0";"18,4";"18,4";"18,2";"968,9";"968,9";"968,8";"3,6";"355,0";"6,6";"";"0,0"
"21/09/2025";"0300";"29,3";"29,7";"29,0";"53,0";"53,0";"51,0";"18,7";"18,7";"18,3";"968,7";"968,9";"968,6";"4,7";"357,0";"7,8";"";"0,0"
"21/09/2025";"0400";"28,9";"29,4";"28,9";"55,0";"55,0";"53,0";"19,0";"19,0";"18,7";"968,6";"968,8";"968,6";"4,8";"4,0";"8,0";"";"0,0"
"21/09/2025";"0500";"28,4";"29,0";"28,4";"57,0";"57,0";"55,0";"19,1";"19,1";"19,0";"968,1";"968,6";"968,1";"4,4";"10,0";"8,7";"";"0,0"
"21/09/2025";"0600";"27,2";"28,5";"27,2";"61,0";"61,0";"57,0";"19,1";"19,1";"19,1";"968,3";"968,4";"968,1";"2,1";"12,0";"7,6";"";"0,0"
"21/09/2025";"0700";"27,1";"27,4";"26,9";"62,0";"62,0";"61,0";"19,1";"19,1";"19,1";"967,7";"968,3";"967,7";"2,9";"3,0";"5,9";"";"0,0"
"21/09/2025";"0800";"28,1";"28,3";"27,1";"58,0";"62,0";"58,0";"19,1";"19,2";"19,1";"967,7";"967,8";"967,6";"6,2";"355,0";"10,5";"";"0,0"
"21/09/2025";"0900";"27,2";"28,1";"27,2";"62,0";"62,0";"58,0";"19,3";"19,3";"19,1";"967,5";"967,8";"967,5";"6,3";"1,0";"10,4";"";"0,0"
"21/09/2025";"1000";"26,8";"27,2";"26,8";"64,0";"64,0";"62,0";"19,5";"19,5";"19,3";"967,5";"967,5";"967,4";"7,6";"360,0";"13,5";"17,80";"0,0"
"21/09/2025";"1100";"27,4";"27,4";"26,7";"64,0";"65,0";"64,0";"20,0";"20,0";"19,5";"968,2";"968,2";"967,4";"7,4";"358,0";"13,9";"497,00";"0,0"
"21/09/2025";"1200";"28,9";"29,0";"27,4";"59,0";"64,0";"59,0";"20,0";"20,3";"19,9";"968,9";"968,9";"968,1";"7,7";"352,0";"12,6";"1367,60";"0,0"
"21/09/2025";"1300";"30,4";"31,2";"28,7";"55,0";"60,0";"53,0";"20,3";"20,7";"20,0";"969,0";"969,4";"968,9";"8,0";"350,0";"13,0";"2166,50";"0,0"
"21/09/2025";"1400";"32,3";"32,7";"30,5";"48,0";"55,0";"48,0";"20,0";"20,6";"20,0";"968,4";"969,1";"968,4";"7,7";"357,0";"13,6";"2817,30";"0,0"
"21/09/2025";"1500";"34,9";"36,5";"32,3";"37,0";"49,0";"35,0";"18,0";"20,6";"17,9";"967,3";"968,4";"967,3";"8,2";"337,0";"15,0";"2989,90";"0,0"
"21/09/2025";"1600";"37,1";"37,2";"34,9";"32,0";"38,0";"31,0";"17,5";"19,1";"16,7";"965,8";"967,3";"965,8";"9,1";"331,0";"16,5";"3131,60";"0,0"
"21/09/2025";"1700";"36,9";"37,5";"35,2";"33,0";"35,0";"30,0";"17,8";"18,2";"16,5";"964,4";"965,8";"964,4";"8,9";"345,0";"15,7";"2804,40";"0,0"
"21/09/2025";"1800";"36,6";"38,0";"35,9";"32,0";"34,0";"31,0";"17,4";"18,1";"16,9";"963,4";"964,5";"963,4";"8,5";"350,0";"15,4";"2583,30";"0,0"
"21/09/2025";"1900";"36,2";"37,5";"35,8";"32,0";"33,0";"31,0";"16,9";"17,8";"16,7";"962,7";"963,5";"962,7";"8,1";"344,0";"15,7";"1682,20";"0,0"
"21/09/2025";"2000";"36,3";"36,8";"35,8";"34,0";"34,0";"32,0";"17,8";"17,9";"16,9";"962,5";"962,8";"962,4";"7,3";"351,0";"14,4";"1324,10";"0,0"
"21/09/2025";"2100";"34,8";"36,3";"34,8";"37,0";"37,0";"34,0";"18,0";"18,2";"17,6";"962,6";"962,7";"962,4";"6,8";"352,0";"11,5";"494,70";"0,0"
"21/09/2025";"2200";"33,9";"34,8";"33,8";"39,0";"40,0";"37,0";"18,2";"18,2";"18,0";"962,8";"962,8";"962,5";"6,6";"353,0";"11,9";"82,90";"0,0"
"21/09/2025";"2300";"32,8";"33,9";"32,8";"44,0";"44,0";"39,0";"18,9";"18,9";"18,2";"963,4";"963,4";"962,8";"6,6";"354,0";"11,4";"";"0,0"
