"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"15/09/2025";"0000";"17,9";"18,4";"17,9";"87,0";"87,0";"86,0";"15,7";"16,0";"15,7";"1019,0";"1019,1";"1018,6";"2,6";"73,0";"5,5";"";"0,0"
"15/09/2025";"0100";"17,6";"18,0";"17,6";"87,0";"87,0";"86,0";"15,4";"15,7";"15,4";"1019,2";"1019,3";"1018,9";"2,6";"67,0";"5,1";"";"0,0"
"15/09/2025";"0200";"17,2";"17,6";"17,2";"88,0";"88,0";"87,0";"15,2";"15,5";"15,2";"1019,0";"1019,2";"1019,0";"2,6";"73,0";"4,3";"";"0,0"
"15/09/2025";"0300";"16,8";"17,2";"16,8";"90,0";"90,0";"88,0";"15,1";"15,3";"15,0";"1019,0";"1019,0";"1018,9";"2,0";"62,0";"4,3";"";"0,0"
"15/09/2025";"0400";"16,5";"16,8";"16,4";"90,0";"90,0";"89,0";"14,9";"15,1";"14,8";"1018,6";"1019,0";"1018,6";"1,6";"56,0";"3,0";"";"0,0"
"15/09/2025";"0500";"16,1";"16,5";"16,1";"92,0";"92,0";"90,0";"14,7";"14,9";"14,6";"1018,2";"1018,6";"1018,2";"1,5";"85,0";"2,8";"";"0,0"
"15/09/2025";"0600";"15,6";"16,2";"15,6";"94,0";"94,0";"91,0";"14,5";"14,9";"14,5";"1017,4";"1018,2";"1017,4";"1,2";"48,0";"2,8";"";"0,0"
"15/09/2025";"0700";"14,8";"15,6";"14,8";"97,0";"97,0";"94,0";"14,3";"14,7";"14,2";"1017,7";"1017,7";"1017,4";"0,3";"264,0";"2,4";"";"0,0"
"15/09/2025";"0800";"14,5";"14,9";"14,0";"100,0";"100,0";"96,0";"14,4";"14,6";"13,4";"1018,0";"1018,0";"1017,6";"0,5";"103,0";"1,2";"";"0,0"
"15/09/2025";"0900";"14,2";"14,5";"14,0";"100,0";"100,0";"99,0";"14,2";"14,4";"13,9";"1018,4";"1018,4";"1017,9";"0,7";"344,0";"1,4";"6,40";"0,0"
"15/09/2025";"1000";"15,9";"15,9";"14,0";"100,0";"100,0";"100,0";"15,9";"15,9";"14,0";"1018,4";"1018,4";"1018,1";"0,5";"307,0";"1,3";"300,80";"0,0"
"15/09/2025";"1100";"17,8";"17,8";"15,9";"86,0";"100,0";"86,0";"15,6";"16,5";"15,2";"1018,8";"1018,8";"1018,4";"0,9";"333,0";"2,5";"995,50";"0,0"
"15/09/2025";"1200";"20,2";"20,3";"17,9";"77,0";"88,0";"75,0";"16,1";"16,8";"15,2";"1018,6";"1018,8";"1018,2";"1,3";"345,0";"2,8";"1679,20";"0,0"
"15/09/2025";"1300";"21,7";"21,7";"19,9";"69,0";"77,0";"66,0";"15,7";"16,5";"14,9";"1018,2";"1018,6";"1017,9";"1,9";"61,0";"3,8";"1636,50";"0,0"
"15/09/2025";"1400";"23,5";"23,6";"21,7";"61,0";"70,0";"61,0";"15,5";"17,1";"15,0";"1017,5";"1018,3";"1017,5";"2,0";"18,0";"3,7";"2020,20";"0,0"
"15/09/2025";"1500";"24,1";"24,8";"23,3";"59,0";"65,0";"57,0";"15,7";"16,7";"15,1";"1016,6";"1017,5";"1016,6";"2,0";"53,0";"4,8";"2454,60";"0,0"
"15/09/2025";"1600";"24,3";"24,9";"24,1";"63,0";"63,0";"56,0";"16,7";"16,7";"15,4";"1015,9";"1016,6";"1015,9";"1,3";"52,0";"4,8";"1631,10";"0,0"
"15/09/2025";"1700";"22,8";"24,3";"22,8";"71,0";"72,0";"63,0";"17,3";"17,6";"16,9";"1016,0";"1016,0";"1015,6";"2,5";"115,0";"5,0";"1037,30";"0,0"
"15/09/2025";"1800";"22,1";"22,8";"22,1";"73,0";"75,0";"70,0";"17,0";"17,5";"16,9";"1015,9";"1016,0";"1015,6";"3,1";"78,0";"6,6";"544,50";"0,0"
"15/09/2025";"1900";"20,7";"22,1";"20,6";"86,0";"86,0";"73,0";"18,3";"18,3";"16,9";"1016,4";"1016,4";"1015,9";"1,9";"89,0";"5,7";"169,30";"0,2"
"15/09/2025";"2000";"20,4";"20,7";"20,4";"85,0";"88,0";"84,0";"17,9";"18,6";"17,8";"1017,2";"1017,2";"1016,4";"1,3";"136,0";"3,0";"123,70";"0,0"
"15/09/2025";"2100";"19,4";"20,4";"19,4";"89,0";"89,0";"85,0";"17,6";"17,9";"17,5";"1017,7";"1017,7";"1017,2";"1,4";"87,0";"2,7";"20,40";"0,0"
"15/09/2025";"2200";"19,0";"19,4";"19,0";"93,0";"93,0";"89,0";"17,9";"17,9";"17,6";"1018,4";"1018,4";"1017,7";"0,2";"190,0";"3,1";"";"0,0"
"15/09/2025";"2300";"18,6";"19,1";"18,6";"98,0";"98,0";"93,0";"18,3";"18,4";"17,9";"1018,7";"1018,7";"1018,4";"0,8";"208,0";"2,3";"";"1,0"
