"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"08/09/2025";"0000";"26,0";"27,5";"26,0";"48,0";"48,0";"44,0";"14,1";"14,2";"14,0";"972,0";"972,1";"971,6";"";"";"";"";"0,0"
"08/09/2025";"0100";"24,8";"26,0";"24,7";"52,0";"52,0";"48,0";"14,2";"14,3";"14,1";"972,4";"972,4";"972,0";"";"";"";"";"0,0"
"08/09/2025";"0200";"24,2";"24,9";"24,1";"54,0";"55,0";"52,0";"14,4";"14,4";"14,2";"972,6";"972,6";"972,3";"";"";"";"";"0,0"
"08/09/2025";"0300";"24,2";"24,5";"24,2";"55,0";"55,0";"54,0";"14,6";"14,6";"14,4";"972,1";"972,6";"972,1";"";"";"";"";"0,0"
"08/09/2025";"0400";"23,3";"24,2";"23,3";"58,0";"58,0";"55,0";"14,5";"14,6";"14,5";"971,5";"972,1";"971,5";"";"";"";"";"0,0"
"08/09/2025";"0500";"23,1";"23,5";"23,1";"59,0";"59,0";"57,0";"14,7";"14,7";"14,5";"970,9";"971,5";"970,9";"";"";"";"";"0,0"
"08/09/2025";"0600";"22,6";"23,2";"22,6";"62,0";"62,0";"59,0";"14,9";"14,9";"14,6";"970,3";"970,9";"970,2";"";"";"";"";"0,0"
"08/09/2025";"0700";"22,1";"22,6";"22,0";"64,0";"64,0";"62,0";"15,0";"15,0";"14,8";"970,0";"970,3";"969,8";"";"";"";"";"0,0"
"08/09/2025";"0800";"21,8";"22,2";"21,8";"65,0";"65,0";"64,0";"14,9";"15,0";"14,9";"970,3";"970,3";"970,0";"";"";"";"";"0,0"
"08/09/2025";"0900";"21,0";"21,9";"21,0";"68,0";"68,0";"64,0";"14,8";"14,9";"14,7";"970,9";"970,9";"970,3";"";"";"";"";"0,0"
"08/09/2025";"1000";"20,7";"21,0";"20,6";"69,0";"69,0";"68,0";"14,8";"14,8";"14,7";"971,5";"971,5";"970,9";"";"";"";"36,40";"0,0"
"08/09/2025";"1100";"22,6";"22,6";"20,7";"62,0";"69,0";"62,0";"15,0";"15,0";"14,7";"972,1";"972,1";"971,5";"";"";"";"571,20";"0,0"
"08/09/2025";"1200";"24,9";"24,9";"22,6";"54,0";"62,0";"54,0";"14,9";"15,2";"14,7";"972,5";"972,6";"972,1";"";"";"";"1371,50";"0,0"
"08/09/2025";"1300";"27,6";"27,7";"24,8";"46,0";"54,0";"45,0";"14,8";"15,3";"14,4";"972,6";"972,7";"972,5";"";"";"";"2174,60";"0,0"
"08/09/2025";"1400";"32,3";"32,4";"27,6";"28,0";"46,0";"28,0";"11,6";"15,2";"11,4";"971,8";"972,6";"971,8";"";"";"";"2756,00";"0,0"
"08/09/2025";"1500";"35,0";"35,2";"32,2";"22,0";"29,0";"22,0";"9,9";"12,5";"9,2";"970,6";"971,8";"970,6";"";"";"";"3079,90";"0,0"
"08/09/2025";"1600";"36,1";"37,0";"34,6";"18,0";"22,0";"18,0";"8,0";"10,2";"7,9";"969,5";"970,6";"969,4";"";"";"";"3135,60";"0,0"
"08/09/2025";"1700";"36,8";"37,2";"35,9";"19,0";"19,0";"17,0";"9,0";"9,7";"7,5";"968,3";"969,5";"968,3";"";"";"";"3024,60";"0,0"
"08/09/2025";"1800";"36,7";"37,9";"36,4";"17,0";"19,0";"16,0";"7,6";"9,7";"7,0";"967,0";"968,3";"966,9";"";"";"";"2543,70";"0,0"
"08/09/2025";"1900";"36,0";"37,4";"35,4";"17,0";"18,0";"16,0";"7,0";"8,2";"6,7";"966,5";"967,0";"966,5";"";"";"";"1010,90";"0,0"
"08/09/2025";"2000";"36,2";"36,8";"35,5";"16,0";"17,0";"16,0";"6,6";"7,3";"6,1";"966,1";"966,5";"966,1";"";"";"";"849,20";"0,0"
"08/09/2025";"2100";"33,7";"36,2";"33,7";"19,0";"19,0";"16,0";"6,8";"6,8";"6,2";"966,3";"966,3";"966,1";"";"";"";"375,40";"0,0"
"08/09/2025";"2200";"31,4";"33,8";"31,4";"22,0";"22,0";"19,0";"7,0";"7,0";"6,7";"966,9";"966,9";"966,3";"";"";"";"5,60";"0,0"
"08/09/2025";"2300";"28,8";"31,4";"28,8";"26,0";"26,0";"22,0";"7,2";"7,2";"7,0";"967,2";"967,2";"966,9";"";"";"";"";"0,0"
"09/09/2025";"0000";"29,0";"29,0";"27,8";"25,0";"27,0";"25,0";"7,0";"7,3";"7,0";"967,4";"967,4";"967,2";"";"";"";"";"0,0"
"09/09/2025";"0100";"27,9";"29,0";"27,7";"26,0";"27,0";"25,0";"6,8";"7,1";"6,8";"967,7";"967,7";"967,4";"";"";"";"";"0,0"
"09/09/2025";"0200";"26,9";"27,9";"26,9";"28,0";"28,0";"26,0";"6,9";"6,9";"6,7";"967,8";"967,8";"967,6";"";"";"";"";"0,0"
"09/09/2025";"0300";"28,5";"28,5";"26,4";"24,0";"29,0";"24,0";"6,0";"7,1";"6,0";"967,9";"968,0";"967,8";"";"";"";"";"0,0"
"09/09/2025";"0400";"26,5";"28,5";"25,1";"28,0";"32,0";"24,0";"6,5";"7,3";"5,9";"968,1";"968,3";"967,9";"";"";"";"";"0,0"
"09/09/2025";"0500";"27,7";"27,9";"26,0";"25,0";"30,0";"25,0";"6,0";"6,9";"6,0";"968,0";"968,2";"968,0";"";"";"";"";"0,0"
"09/09/2025";"0600";"26,0";"27,7";"25,6";"29,0";"29,0";"25,0";"6,4";"6,4";"6,1";"967,8";"968,3";"967,8";"";"";"";"";"0,0"
"09/09/2025";"0700";"25,1";"26,2";"25,1";"32,0";"32,0";"28,0";"7,3";"7,3";"6,3";"968,4";"968,4";"967,7";"";"";"";"";"0,0"
"09/09/2025";"0800";"24,3";"25,8";"24,3";"58,0";"58,0";"31,0";"15,6";"15,6";"7,3";"970,2";"970,2";"968,4";"";"";"";"";"0,0"
"09/09/2025";"0900";"23,3";"24,3";"23,3";"67,0";"67,0";"59,0";"16,8";"16,8";"15,8";"971,2";"971,3";"970,2";"";"";"";"";"0,0"
"09/09/2025";"1000";"22,8";"23,3";"22,8";"67,0";"67,0";"65,0";"16,3";"16,8";"16,3";"973,6";"973,6";"971,2";"";"";"";"13,10";"0,0"
"09/09/2025";"1100";"23,6";"23,6";"22,8";"64,0";"67,0";"64,0";"16,3";"16,5";"16,2";"974,6";"974,6";"973,5";"";"";"";"261,20";"0,0"
"09/09/2025";"1200";"24,6";"24,6";"23,5";"59,0";"64,0";"59,0";"16,1";"16,4";"15,8";"974,5";"974,8";"974,5";"";"";"";"519,70";"0,0"
"09/09/2025";"1300";"25,0";"25,7";"24,5";"52,0";"59,0";"49,0";"14,4";"15,9";"14,0";"974,4";"974,5";"973,4";"";"";"";"809,40";"0,0"
"09/09/2025";"1400";"24,3";"25,0";"24,2";"55,0";"56,0";"51,0";"14,5";"14,9";"14,1";"973,9";"974,7";"973,6";"";"";"";"238,20";"0,0"
"09/09/2025";"1500";"24,5";"24,7";"24,1";"58,0";"58,0";"53,0";"15,7";"15,8";"14,3";"973,8";"974,5";"973,7";"";"";"";"479,80";"0,0"
"09/09/2025";"1600";"25,9";"26,1";"24,5";"50,0";"58,0";"50,0";"14,7";"15,8";"14,7";"973,5";"973,9";"973,5";"";"";"";"1015,50";"0,0"
"09/09/2025";"1700";"28,7";"28,7";"25,9";"40,0";"51,0";"39,0";"13,7";"15,4";"13,0";"972,6";"973,5";"972,6";"";"";"";"1712,20";"0,0"
"09/09/2025";"1800";"30,7";"31,0";"28,5";"36,0";"40,0";"36,0";"13,9";"14,8";"13,1";"971,5";"972,6";"971,5";"";"";"";"2825,60";"0,0"
"09/09/2025";"1900";"31,5";"32,0";"30,5";"34,0";"38,0";"26,0";"13,6";"15,0";"9,9";"971,2";"971,5";"971,2";"";"";"";"2165,20";"0,0"
"09/09/2025";"2000";"31,3";"31,9";"31,0";"27,0";"35,0";"26,0";"9,9";"14,1";"9,7";"971,2";"971,2";"971,0";"";"";"";"1360,00";"0,0"
"09/09/2025";"2100";"29,5";"31,5";"29,5";"22,0";"28,0";"21,0";"5,7";"10,7";"5,7";"971,3";"971,3";"971,1";"";"";"";"480,90";"0,0"
"09/09/2025";"2200";"25,3";"29,6";"25,3";"29,0";"29,0";"22,0";"6,1";"6,3";"5,2";"971,7";"971,7";"971,3";"";"";"";"8,70";"0,0"
"09/09/2025";"2300";"23,6";"25,3";"22,7";"33,0";"36,0";"29,0";"6,3";"6,8";"5,7";"972,2";"972,2";"971,7";"";"";"";"";"0,0"
"10/09/2025";"0000";"22,4";"23,6";"22,4";"45,0";"45,0";"33,0";"9,9";"10,0";"6,2";"972,9";"972,9";"972,2";"";"";"";"";"0,0"
"10/09/2025";"0100";"20,5";"22,7";"20,5";"52,0";"52,0";"45,0";"10,1";"10,2";"9,9";"973,1";"973,1";"972,9";"";"";"";"";"0,0"
"10/09/2025";"0200";"19,8";"20,6";"19,7";"50,0";"52,0";"49,0";"9,3";"10,0";"9,2";"973,2";"973,3";"973,1";"";"";"";"";"0,0"
"10/09/2025";"0300";"18,6";"19,8";"17,1";"53,0";"61,0";"51,0";"8,8";"10,0";"8,8";"973,2";"973,3";"973,2";"";"";"";"";"0,0"
"10/09/2025";"0400";"15,5";"18,5";"15,5";"61,0";"61,0";"53,0";"8,0";"8,8";"7,9";"972,8";"973,2";"972,8";"";"";"";"";"0,0"
"10/09/2025";"0500";"17,7";"17,7";"13,9";"51,0";"71,0";"51,0";"7,4";"9,0";"7,4";"972,5";"972,8";"972,5";"";"";"";"";"0,0"
"10/09/2025";"0600";"17,9";"18,1";"14,8";"49,0";"64,0";"49,0";"7,1";"8,2";"7,0";"972,5";"972,5";"972,3";"";"";"";"";"0,0"
"10/09/2025";"0700";"15,3";"17,9";"13,2";"59,0";"66,0";"49,0";"7,3";"7,5";"6,9";"972,7";"972,7";"972,4";"";"";"";"";"0,0"
"10/09/2025";"0800";"13,4";"15,8";"12,1";"64,0";"71,0";"56,0";"6,6";"7,8";"6,6";"972,8";"972,8";"972,6";"";"";"";"";"0,0"
"10/09/2025";"0900";"16,0";"16,6";"13,3";"55,0";"65,0";"52,0";"6,9";"7,0";"6,5";"973,0";"973,0";"972,8";"";"";"";"";"0,0"
"10/09/2025";"1000";"18,0";"18,0";"13,8";"48,0";"64,0";"48,0";"6,7";"7,1";"6,2";"973,7";"973,7";"973,0";"";"";"";"78,10";"0,0"
"10/09/2025";"1100";"21,9";"21,9";"18,1";"38,0";"48,0";"38,0";"7,0";"7,3";"6,6";"974,1";"974,1";"973,7";"";"";"";"749,90";"0,0"
"10/09/2025";"1200";"26,5";"26,5";"21,9";"31,0";"38,0";"31,0";"8,1";"8,2";"7,1";"974,7";"974,7";"974,1";"";"";"";"1615,10";"0,0"
"10/09/2025";"1300";"28,8";"28,8";"26,2";"26,0";"32,0";"25,0";"7,6";"8,6";"6,3";"974,5";"974,7";"974,5";"";"";"";"2460,30";"0,0"
"10/09/2025";"1400";"30,9";"30,9";"28,5";"21,0";"26,0";"20,0";"6,3";"7,8";"4,8";"974,1";"974,5";"974,1";"";"";"";"3049,50";"0,0"
"10/09/2025";"1500";"32,2";"32,2";"30,5";"16,0";"22,0";"16,0";"3,6";"6,7";"3,0";"973,3";"974,1";"973,3";"";"";"";"3359,90";"0,0"
"10/09/2025";"1600";"33,6";"33,6";"32,2";"15,0";"17,0";"15,0";"3,7";"4,7";"2,9";"972,2";"973,3";"972,2";"";"";"";"3395,40";"0,0"
"10/09/2025";"1700";"35,1";"35,8";"33,6";"13,0";"15,0";"12,0";"2,5";"4,3";"1,9";"971,2";"972,2";"971,2";"";"";"";"3278,70";"0,0"
"10/09/2025";"1800";"35,7";"36,2";"34,7";"12,0";"13,0";"12,0";"1,8";"3,1";"1,2";"970,1";"971,2";"970,1";"";"";"";"2852,50";"0,0"
"10/09/2025";"1900";"36,2";"36,3";"34,9";"11,0";"13,0";"11,0";"1,3";"2,4";"0,7";"969,7";"970,1";"969,7";"";"";"";"2213,00";"0,0"
"10/09/2025";"2000";"35,7";"36,6";"35,5";"12,0";"12,0";"11,0";"1,5";"2,1";"1,1";"969,6";"969,7";"969,5";"";"";"";"1388,70";"0,0"
"10/09/2025";"2100";"33,1";"35,8";"33,1";"14,0";"14,0";"11,0";"2,2";"2,3";"0,7";"970,0";"970,0";"969,6";"";"";"";"473,10";"0,0"
"10/09/2025";"2200";"29,2";"33,1";"29,2";"19,0";"19,0";"14,0";"3,0";"3,5";"2,3";"970,6";"970,6";"969,9";"";"";"";"7,60";"0,0"
"10/09/2025";"2300";"25,5";"29,6";"25,2";"25,0";"26,0";"19,0";"4,2";"4,6";"3,0";"971,2";"971,2";"970,6";"";"";"";"";"0,0"
"11/09/2025";"0000";"23,1";"28,1";"23,1";"31,0";"31,0";"19,0";"4,8";"4,8";"2,5";"972,1";"972,1";"971,2";"";"";"";"";"0,0"
"11/09/2025";"0100";"25,8";"25,8";"21,9";"19,0";"31,0";"19,0";"0,3";"4,8";"0,3";"972,6";"972,6";"972,1";"";"";"";"";"0,0"
"11/09/2025";"0200";"22,1";"28,5";"22,1";"25,0";"25,0";"15,0";"1,1";"1,1";"-1,1";"973,2";"973,2";"972,6";"";"";"";"";"0,0"
"11/09/2025";"0300";"21,7";"22,6";"21,5";"26,0";"26,0";"24,0";"1,3";"1,5";"1,1";"973,3";"973,4";"973,2";"";"";"";"";"0,0"
"11/09/2025";"0400";"22,3";"22,8";"21,1";"27,0";"29,0";"26,0";"2,7";"2,8";"1,2";"973,2";"973,4";"973,2";"";"";"";"";"0,0"
"11/09/2025";"0500";"22,1";"22,6";"21,8";"28,0";"28,0";"27,0";"2,6";"2,7";"2,6";"972,8";"973,2";"972,8";"";"";"";"";"0,0"
"11/09/2025";"0600";"21,8";"22,2";"21,7";"28,0";"28,0";"27,0";"2,4";"2,6";"2,4";"972,5";"972,8";"972,5";"";"";"";"";"0,0"
"11/09/2025";"0700";"21,1";"22,2";"20,9";"31,0";"32,0";"28,0";"3,2";"3,5";"2,4";"972,5";"972,5";"972,3";"";"";"";"";"0,0"
"11/09/2025";"0800";"20,7";"21,5";"20,4";"33,0";"33,0";"30,0";"4,0";"4,0";"3,1";"972,5";"972,5";"972,4";"";"";"";"";"0,0"
"11/09/2025";"0900";"20,6";"21,3";"20,6";"36,0";"36,0";"33,0";"5,0";"5,0";"4,0";"972,9";"972,9";"972,5";"";"";"";"";"0,0"
"11/09/2025";"1000";"20,4";"20,8";"20,1";"40,0";"40,0";"36,0";"6,3";"6,3";"5,0";"974,0";"974,0";"972,9";"";"";"";"71,40";"0,0"
"11/09/2025";"1100";"22,6";"22,6";"20,3";"40,0";"42,0";"40,0";"8,4";"8,5";"6,4";"974,4";"974,5";"974,0";"";"";"";"696,00";"0,0"
"11/09/2025";"1200";"25,8";"25,8";"22,6";"34,0";"40,0";"34,0";"8,5";"9,1";"8,1";"974,6";"974,7";"974,4";"";"";"";"1531,70";"0,0"
"11/09/2025";"1300";"29,7";"29,7";"25,8";"26,0";"34,0";"25,0";"7,9";"9,1";"7,5";"974,6";"974,7";"974,6";"";"";"";"2345,00";"0,0"
"11/09/2025";"1400";"32,2";"32,2";"29,7";"22,0";"26,0";"21,0";"7,9";"8,3";"6,9";"974,3";"974,7";"974,3";"";"";"";"2910,90";"0,0"
"11/09/2025";"1500";"35,0";"35,1";"32,3";"16,0";"22,0";"16,0";"5,6";"8,3";"5,6";"973,3";"974,3";"973,3";"";"";"";"3189,30";"0,0"
"11/09/2025";"1600";"36,6";"36,9";"34,9";"13,0";"17,0";"13,0";"4,2";"6,4";"3,6";"972,4";"973,3";"972,3";"";"";"";"3253,30";"0,0"
"11/09/2025";"1700";"37,0";"37,5";"35,7";"14,0";"14,0";"13,0";"4,9";"5,4";"3,6";"971,3";"972,4";"971,3";"";"";"";"3133,70";"0,0"
"11/09/2025";"1800";"37,3";"37,8";"36,6";"14,0";"15,0";"14,0";"5,6";"6,2";"4,9";"970,4";"971,3";"970,4";"";"";"";"2726,20";"0,0"
"11/09/2025";"1900";"37,0";"37,8";"36,7";"14,0";"15,0";"14,0";"5,4";"6,1";"5,2";"969,8";"970,4";"969,8";"";"";"";"2104,40";"0,0"
"11/09/2025";"2000";"36,5";"37,6";"36,5";"13,0";"15,0";"13,0";"4,0";"5,9";"4,0";"969,8";"969,8";"969,7";"";"";"";"1333,70";"0,0"
"11/09/2025";"2100";"34,0";"36,8";"34,0";"15,0";"15,0";"13,0";"4,2";"4,2";"3,1";"970,0";"970,0";"969,7";"";"";"";"470,10";"0,0"
"11/09/2025";"2200";"31,0";"34,0";"31,0";"20,0";"20,0";"16,0";"5,2";"5,3";"4,2";"970,4";"970,4";"970,0";"";"";"";"8,30";"0,0"
"11/09/2025";"2300";"28,7";"31,0";"27,4";"23,0";"26,0";"20,0";"5,7";"6,3";"5,2";"970,7";"970,7";"970,4";"";"";"";"";"0,0"
"12/09/2025";"0000";"27,2";"29,0";"27,0";"27,0";"27,0";"23,0";"6,5";"6,6";"5,6";"971,3";"971,3";"970,7";"";"";"";"";"0,0"
"12/09/2025";"0100";"26,8";"27,3";"24,5";"28,0";"33,0";"27,0";"6,9";"7,4";"6,5";"971,7";"971,7";"971,3";"";"";"";"";"0,0"
"12/09/2025";"0200";"25,7";"28,4";"25,7";"30,0";"30,0";"25,0";"6,9";"6,9";"6,3";"971,7";"971,9";"971,6";"";"";"";"";"0,0"
"12/09/2025";"0300";"25,0";"25,7";"23,8";"33,0";"35,0";"30,0";"7,8";"7,8";"6,9";"972,0";"972,2";"971,7";"";"";"";"";"0,0"
"12/09/2025";"0400";"26,2";"26,3";"24,9";"30,0";"34,0";"30,0";"7,2";"7,9";"7,2";"971,1";"972,0";"971,1";"";"";"";"";"0,0"
"12/09/2025";"0500";"25,3";"26,3";"25,1";"31,0";"32,0";"30,0";"6,9";"7,2";"6,9";"970,8";"971,1";"970,7";"";"";"";"";"0,0"
"12/09/2025";"0600";"24,6";"26,1";"24,6";"31,0";"31,0";"28,0";"6,5";"6,9";"6,3";"970,0";"970,8";"970,0";"";"";"";"";"0,0"
"12/09/2025";"0700";"20,7";"24,6";"20,7";"41,0";"41,0";"31,0";"7,0";"7,1";"6,5";"969,9";"970,1";"969,9";"";"";"";"";"0,0"
"12/09/2025";"0800";"20,8";"21,0";"19,9";"41,0";"44,0";"40,0";"7,1";"7,2";"7,0";"970,3";"970,3";"969,9";"";"";"";"";"0,0"
"12/09/2025";"0900";"17,8";"20,9";"17,0";"51,0";"54,0";"41,0";"7,5";"7,8";"6,9";"971,1";"971,1";"970,3";"";"";"";"";"0,0"
"12/09/2025";"1000";"17,0";"17,9";"16,0";"59,0";"60,0";"51,0";"9,0";"9,0";"7,5";"972,6";"972,6";"971,1";"";"";"";"64,20";"0,0"
"12/09/2025";"1100";"22,1";"22,1";"17,0";"40,0";"59,0";"40,0";"7,9";"8,9";"7,4";"973,1";"973,2";"972,6";"";"";"";"645,90";"0,0"
"12/09/2025";"1200";"25,0";"25,1";"22,1";"30,0";"40,0";"30,0";"6,4";"7,9";"6,2";"973,9";"973,9";"973,0";"";"";"";"1459,00";"0,0"
"12/09/2025";"1300";"27,7";"27,7";"24,8";"24,0";"31,0";"24,0";"5,0";"6,7";"4,8";"973,9";"974,0";"973,6";"";"";"";"2272,40";"0,0"
"12/09/2025";"1400";"29,8";"29,8";"27,6";"20,0";"24,0";"20,0";"4,7";"5,6";"3,8";"973,3";"973,9";"973,3";"";"";"";"2830,30";"0,0"
"12/09/2025";"1500";"31,7";"32,3";"29,7";"18,0";"21,0";"17,0";"4,1";"5,6";"4,1";"972,5";"973,4";"972,5";"";"";"";"3136,40";"0,0"
"12/09/2025";"1600";"33,8";"34,2";"31,7";"14,0";"18,0";"14,0";"2,6";"5,5";"2,6";"971,5";"972,5";"971,5";"";"";"";"3210,20";"0,0"
"12/09/2025";"1700";"34,2";"35,4";"33,4";"15,0";"16,0";"14,0";"3,9";"5,0";"2,5";"970,4";"971,6";"970,4";"";"";"";"3086,20";"0,0"
"12/09/2025";"1800";"34,4";"35,1";"33,8";"17,0";"17,0";"15,0";"5,6";"6,2";"3,5";"969,5";"970,4";"969,5";"";"";"";"2353,00";"0,0"
"12/09/2025";"1900";"34,4";"35,0";"33,7";"17,0";"17,0";"16,0";"6,0";"6,3";"5,1";"968,7";"969,5";"968,7";"";"";"";"1764,20";"0,0"
"12/09/2025";"2000";"34,2";"34,7";"33,9";"18,0";"18,0";"17,0";"6,4";"6,5";"5,5";"968,7";"968,8";"968,5";"";"";"";"1344,60";"0,0"
"12/09/2025";"2100";"32,1";"34,2";"31,9";"22,0";"23,0";"18,0";"7,8";"8,2";"6,0";"969,2";"969,2";"968,7";"";"";"";"448,10";"0,0"
"12/09/2025";"2200";"28,8";"32,1";"28,8";"27,0";"27,0";"22,0";"8,0";"8,1";"7,7";"969,7";"969,7";"969,3";"";"";"";"11,60";"0,0"
"12/09/2025";"2300";"28,9";"29,2";"28,4";"27,0";"28,0";"26,0";"7,8";"8,2";"7,7";"970,1";"970,1";"969,7";"";"";"";"";"0,0"
"13/09/2025";"0000";"28,4";"29,1";"27,9";"27,0";"28,0";"27,0";"7,9";"8,1";"7,8";"970,7";"970,7";"970,1";"";"";"";"";"0,0"
"13/09/2025";"0100";"25,8";"28,6";"25,8";"37,0";"37,0";"27,0";"10,0";"10,0";"7,8";"971,0";"971,0";"970,7";"";"";"";"";"0,0"
"13/09/2025";"0200";"24,5";"25,8";"24,5";"41,0";"41,0";"37,0";"10,3";"10,3";"9,9";"971,1";"971,2";"971,0";"";"";"";"";"0,0"
"13/09/2025";"0300";"23,6";"24,5";"23,5";"44,0";"44,0";"41,0";"10,7";"10,7";"10,3";"971,4";"971,4";"971,1";"";"";"";"";"0,0"
"13/09/2025";"0400";"22,1";"23,6";"22,1";"49,0";"49,0";"44,0";"11,0";"11,0";"10,7";"971,1";"971,5";"971,1";"";"";"";"";"0,0"
"13/09/2025";"0500";"20,8";"22,2";"20,8";"55,0";"55,0";"49,0";"11,4";"11,4";"11,1";"970,9";"971,1";"970,9";"";"";"";"";"0,0"
"13/09/2025";"0600";"20,3";"20,8";"20,1";"57,0";"58,0";"55,0";"11,6";"11,7";"11,4";"970,5";"970,9";"970,5";"";"";"";"";"0,0"
"13/09/2025";"0700";"18,8";"20,3";"18,8";"63,0";"63,0";"57,0";"11,6";"11,6";"11,5";"970,5";"970,6";"970,4";"";"";"";"";"0,0"
"13/09/2025";"0800";"17,6";"18,8";"17,6";"69,0";"69,0";"63,0";"11,8";"11,8";"11,6";"971,1";"971,1";"970,5";"";"";"";"";"0,0"
"13/09/2025";"0900";"17,0";"17,7";"17,0";"71,0";"71,0";"69,0";"11,8";"11,9";"11,8";"971,6";"971,6";"971,1";"";"";"";"";"0,0"
"13/09/2025";"1000";"17,1";"17,1";"16,8";"71,0";"72,0";"71,0";"11,8";"11,8";"11,8";"972,2";"972,2";"971,6";"";"";"";"71,90";"0,0"
"13/09/2025";"1100";"18,6";"18,7";"17,1";"64,0";"71,0";"64,0";"11,7";"11,8";"11,6";"972,9";"972,9";"972,2";"";"";"";"693,60";"0,0"
"13/09/2025";"1200";"20,5";"20,5";"18,6";"57,0";"64,0";"57,0";"11,6";"12,0";"11,5";"973,5";"973,5";"972,9";"";"";"";"1135,70";"0,0"
