Nome_Municipio;Sigla_UF;regiao;Data_Registro;Data_Evento;descricao_tipologia;grupo_de_desastre;Cod_IBGE_Mun;Status;DH_MORTOS;DH_FERIDOS;DH_ENFERMOS;DH_DESABRIGADOS;DH_DESALOJADOS;DH_AFETADOS_SECA_ESTIAGEM;DH_total_danos_humanos_diretos;DM_Inst Saúde Danificadas;DM_Inst Saúde Destruidas
Abdon Batista;SC;Sul;15/02/1991;15/02/1991;Estiagem e Seca;Climatológico;4200051;Registro;0;0;0;0;0;0;0;0;0
Abdon Batista;SC;Sul;18/12/1995;18/12/1995;Estiagem e Seca;Climatológico;4200051;Registro;0;0;0;0;0;0;0;0;0
Abdon Batista;SC;Sul;06/06/1997;06/06/1997;Estiagem e Seca;Climatológico;4200051;Registro;0;0;0;0;0;0;0;0;0
Abdon Batista;SC;Sul;28/04/1998;28/04/1998;Enxurradas;Hidrológico;4200051;Registro;0;1;1;242;465;0;709;0;0
Abdon Batista;SC;Sul;18/09/1998;18/09/1998;Vendavais e Ciclones;Meteorológico;4200051;Registro;0;5;0;50;50;0;105;0;0
Abdon Batista;SC;Sul;15/03/1999;15/03/1999;Estiagem e Seca;Climatológico;4200051;Registro;0;0;0;0;0;0;0;0;0
Abdon Batista;SC;Sul;01/03/2002;01/03/2002;Estiagem e Seca;Climatológico;4200051;Registro;0;0;0;0;0;0;0;0;0
Abdon Batista;SC;Sul;26/10/2003;26/10/2003;Vendavais e Ciclones;Meteorológico;4200051;Registro;0;0;0;0;0;0;0;0;0
Abdon Batista;SC;Sul;27/02/2004;27/02/2004;Estiagem e Seca;Climatológico;4200051;Registro;0;0;0;0;0;0;0;0;0
Abdon Batista;SC;Sul;24/02/2005;24/02/2005;Estiagem e Seca;Climatológico;4200051;Reconhecido;0;0;0;0;0;0;0;0;0
Abdon Batista;SC;Sul;13/04/2005;13/04/2005;Enxurradas;Hidrológico;4200051;Reconhecido;0;6;0;140;10;0;156;0;0
Abdon Batista;SC;Sul;23/05/2006;23/05/2006;Estiagem e Seca;Climatológico;4200051;Reconhecido;0;0;0;0;0;0;0;0;0
Abdon Batista;SC;Sul;20/10/2007;20/10/2007;Granizo;Meteorológico;4200051;Registro;0;0;0;33;100;0;133;1;0
Abdon Batista;SC;Sul;30/12/2008;30/12/2008;Estiagem e Seca;Climatológico;4200051;Registro;0;0;0;0;0;0;0;0;0
Abdon Batista;SC;Sul;02/04/2009;02/04/2009;Estiagem e Seca;Climatológico;4200051;Reconhecido;0;0;0;0;0;0;0;0;0
Abdon Batista;SC;Sul;28/09/2009;28/09/2009;Enxurradas;Hidrológico;4200051;Reconhecido;0;0;0;0;0;0;0;0;0
Abdon Batista;SC;Sul;21/02/2011;21/02/2011;Enxurradas;Hidrológico;4200051;Registro;0;0;0;0;30;0;30;0;0
